State	Perinatal HIV testing	Laboratory HIV Testing Laws	HIV-specific testing	Control measures that are HIV-specific	Counseling	Sentence enhancement specific to STD/communicable/infectious disease	Laboratory HIV Reporting Laws	Adolescent consent	Sentence enhancement specific to HIV	Informed Consent	HIV-specific criminalization	Perinatal HIV	STD/communicable/infectious disease criminalization
Alabama	1	0	0	0	1	0	1	1	0	1	0	0	1
Alaska	0	0	0	0	1	0	1	1	1	1	0	0	0
Arizona	0	0	0	0	1	0	1	1	0	1	0	0	0
Arkansas	1	0	0	0	1	0	1	1	0	1	1	0	0
California	1	0	0	0	1	0	1	1	1	1	0	0	1
Colorado	1	0	0	0	1	0	1	1	1	1	0	0	0
Connecticut	1	0	0	0	1	0	1	1	0	1	0	0	0
Delaware	1	0	0	0	1	0	1	1	0	1	0	0	0
District of Columbia	0	0	0	0	1	0	1	1	0	1	0	0	0
Florida	1	0	0	0	1	0	1	1	1	1	1	0	0
Georgia	1	0	0	0	1	0	1	1	0	1	1	0	0
Hawaii	0	0	0	0	1	0	1	1	0	1	0	0	0
Idaho	0	1	0	0	1	0	0	1	0	1	1	0	0
Illinois	1	0	0	0	1	0	1	1	0	1	1	0	0
Indiana	1	0	0	0	1	0	1	1	0	1	1	0	0
Iowa	1	0	0	0	1	0	1	1	0	1	0	0	1
Kansas	1	0	0	0	1	0	1	1	0	1	0	0	1
Kentucky	0	0	0	0	1	0	1	1	0	1	1	0	0
Louisiana	0	0	0	0	1	0	1	1	0	1	1	1	0
Maine	1	0	0	0	1	0	1	1	0	1	0	0	0
Maryland	1	0	0	0	1	0	1	1	0	1	1	0	0
Massachusetts	0	0	0	0	1	1	1	1	0	1	0	0	0
Michigan	1	0	0	0	1	0	1	1	0	1	1	0	0
Minnesota	0	0	0	0	1	0	1	1	0	1	0	0	1
Mississippi	0	0	0	0	1	0	1	1	0	1	1	0	0
Missouri	0	0	0	0	1	0	1	1	0	1	1	0	0
Montana	1	0	0	0	1	0	1	1	0	1	0	0	1
Nebraska	0	0	0	0	1	0	1	1	0	1	1	0	0
Nevada	1	0	0	0	1	0	1	1	0	1	1	0	0
New Hampshire	1	0	0	0	1	0	1	1	0	1	0	0	0
New Jersey	1	0	0	0	1	0	1	1	0	1	1	0	0
New Mexico	1	0	0	0	1	0	1	1	0	1	0	0	0
New York	1	0	0	0	1	0	1	1	0	1	0	0	1
North Carolina	1	0	0	1	1	0	1	1	0	1	0	0	0
North Dakota	0	0	0	0	1	0	1	1	0	1	1	0	0
Ohio	0	0	0	0	1	0	1	1	0	1	1	0	0
Oklahoma	1	0	0	0	1	0	1	1	0	1	1	0	0
Oregon	1	0	0	0	1	0	1	1	0	1	0	0	0
Pennsylvania	0	0	0	0	1	0	1	1	0	1	1	0	0
Rhode Island	1	0	0	0	1	0	1	1	0	1	0	0	1
South Carolina	0	0	0	0	1	0	1	1	0	1	1	0	0
South Dakota	0	0	1	0	1	0	1	1	0	1	0	0	0
Tennessee	1	0	0	0	1	0	1	1	0	1	1	0	0
Texas	1	0	0	0	1	0	1	1	0	1	0	0	0
Utah	0	0	0	0	1	0	1	1	0	1	1	0	0
Vermont	0	0	0	0	1	0	1	1	0	1	0	0	0
Virginia	1	0	0	0	1	0	1	1	0	1	1	0	0
Washington	1	0	0	0	1	0	1	1	0	1	1	0	0
West Virginia	1	0	0	0	1	0	1	1	0	1	0	0	1
Wisconsin	0	0	0	0	1	0	1	1	1	1	0	0	0
Wyoming	0	0	0	0	1	0	1	1	0	1	0	0	0
